Trigger Count=13861	Output Count=13861	Elapsed Time=30.001	Number of Pulses CH0=2	Number of Pulses CH1=0
rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.1000	Channel 0 threshold (V)=0.1000	Channel 1 threshold (V)=0.1000	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.456000E-6	0.376736	1.014440E-7	1.045600E-5	0.655302	9.922300E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.374552	1.020392E-7	1.045600E-5	0.668445	9.925686E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4.560000E-7	0.367789	1.020914E-7	5.456000E-6	0.655499	9.907223E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.369581	1.014053E-7	1.045600E-5	0.662801	9.913837E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.374186	1.017312E-7	1.045600E-5	0.667760	9.916331E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.373185	1.018296E-7	1.046000E-5	0.655982	9.913200E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.372494	1.022299E-7	1.045600E-5	0.658377	9.907595E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.379274	1.014218E-7	1.045600E-5	0.658989	9.938928E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.373229	1.015013E-7	1.045600E-5	0.666401	9.949895E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.379938	1.019832E-7	1.045600E-5	0.658528	9.932641E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.373925	1.012854E-7	1.045600E-5	0.663890	9.950243E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.372681	1.016204E-7	1.045600E-5	0.667042	9.945870E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.373368	1.019915E-7	1.045600E-5	0.663637	9.894084E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.374450	1.012833E-7	1.045600E-5	0.656453	9.950282E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.378155	1.014768E-7	1.045600E-5	0.663714	9.929350E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.371822	1.014407E-7	1.045600E-5	0.658107	9.950234E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.373226	1.018888E-7	1.045600E-5	0.666774	9.924366E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.380626	1.012697E-7	1.045600E-5	0.664186	9.957738E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.373597	1.020947E-7	1.045600E-5	0.665151	9.897836E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.374735	1.012737E-7	1.045600E-5	0.663684	9.925967E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.374875	1.014826E-7	1.045600E-5	0.658793	9.950100E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.375700	1.020321E-7	1.045600E-5	0.659919	9.923604E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.376957	1.014407E-7	1.045600E-5	0.663558	9.947266E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.374747	1.010094E-7	1.045600E-5	0.659875	9.978224E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.373739	1.022757E-7	1.045600E-5	0.657520	9.913899E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.376904	1.013386E-7	1.045600E-5	0.656839	9.955080E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.373420	1.015350E-7	1.045600E-5	0.662830	9.960573E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.375317	1.019345E-7	1.045600E-5	0.663458	9.952519E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4.560000E-7	0.373064	1.022689E-7	5.456000E-6	0.657114	9.922127E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.373373	1.017626E-7	1.046000E-5	0.655079	9.916217E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.375550	1.015290E-7	1.045600E-5	0.664190	9.918135E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.372869	1.016592E-7	1.045600E-5	0.664466	9.930385E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.370346	1.013810E-7	1.045600E-5	0.662151	9.924345E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.372297	1.015400E-7	1.045600E-5	0.661496	9.965423E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.377821	1.018400E-7	1.045600E-5	0.664589	9.916062E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.372479	1.012226E-7	1.045600E-5	0.668364	9.949354E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.375545	1.018813E-7	1.045600E-5	0.663411	9.931131E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.376142	1.012630E-7	1.045600E-5	0.659003	9.936483E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.460000E-6	0.372196	1.018028E-7	1.046000E-5	0.668352	9.902736E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.378142	1.017048E-7	1.045600E-5	0.660705	9.926687E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.370669	1.020140E-7	1.045600E-5	0.662536	9.876787E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.369721	1.014579E-7	1.045600E-5	0.655408	9.927514E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.373883	1.015376E-7	1.045600E-5	0.656188	9.963043E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4.560000E-7	0.378997	1.019583E-7	5.456000E-6	0.662835	9.913903E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.377508	1.017523E-7	1.045600E-5	0.661333	9.879258E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.371901	1.019550E-7	1.045600E-5	0.665953	9.909366E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.372372	1.014950E-7	1.045600E-5	0.666383	9.937655E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.371723	1.017715E-7	1.045600E-5	0.665546	9.927858E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.374496	1.014354E-7	1.045600E-5	0.663657	9.952578E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
