Trigger Count=13817	Output Count=13817	Elapsed Time=30.004	Number of Pulses CH0=0	Number of Pulses CH1=2
rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.1000	Channel 0 threshold (V)=0.1000	Channel 1 threshold (V)=0.1000	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.894155	9.990926E-8	1.045600E-5	1.360887	9.912132E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.923402	9.944223E-8	1.045600E-5	1.354870	9.963817E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.892399	1.000491E-7	1.045600E-5	1.349553	9.937447E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.460000E-6	0.921405	9.921496E-8	1.046000E-5	1.361299	9.948765E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.923781	9.952306E-8	1.045600E-5	1.356909	9.949304E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.923624	9.935901E-8	1.045600E-5	1.350844	9.969079E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.919729	9.959217E-8	1.045600E-5	1.365111	9.909685E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.912132	9.953561E-8	1.045600E-5	1.349514	9.948326E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.922024	9.962782E-8	1.045600E-5	1.352461	9.940756E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.560000E-7	1.083056	1.021390E-7	5.456000E-6	1.361457	9.918446E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.460000E-6	0.964278	9.855717E-8	1.046000E-5	1.353801	9.969476E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.894157	1.000612E-7	1.045600E-5	1.349989	9.948889E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.922117	9.932213E-8	1.045600E-5	1.343821	9.937546E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.560000E-7	1.142613	1.027631E-7	5.456000E-6	1.350954	9.964273E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.923766	9.963607E-8	1.045600E-5	1.353676	9.937960E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.560000E-7	1.136524	1.028668E-7	5.460000E-6	1.359214	9.963148E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.959855	9.880466E-8	1.045600E-5	1.354105	9.968408E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.947717	9.914733E-8	1.045600E-5	1.347167	9.928770E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.894992	9.972140E-8	1.045600E-5	1.346272	9.948568E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.600000E-7	0.855995	9.806842E-8	5.460000E-6	1.347638	9.972236E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.920233	9.947386E-8	1.045600E-5	1.357821	9.951326E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.933217	9.935504E-8	1.045600E-5	1.349424	9.936412E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.560000E-7	0.854199	9.837540E-8	5.456000E-6	1.350615	9.964201E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.893753	1.000695E-7	1.045600E-5	1.350734	9.929042E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.893811	9.980659E-8	1.045600E-5	1.360905	9.929241E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.460000E-6	0.906605	9.937206E-8	1.046000E-5	1.352762	9.973219E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.922108	9.957276E-8	1.045600E-5	1.357035	9.947555E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.919433	9.945326E-8	1.045600E-5	1.362536	9.922503E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.460000E-6	0.913265	9.951066E-8	1.046000E-5	1.349573	9.967687E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.919951	9.957128E-8	1.045600E-5	1.354634	9.954111E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.896003	9.961844E-8	1.046000E-5	1.345769	9.957240E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.923411	9.923996E-8	1.045600E-5	1.350406	9.969982E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.920743	9.960242E-8	1.045600E-5	1.355333	9.947089E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.460000E-6	0.925025	9.926816E-8	1.046000E-5	1.351291	9.965357E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.894939	9.989877E-8	1.045600E-5	1.363411	9.912576E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.460000E-6	0.962967	9.852784E-8	1.046000E-5	1.348976	9.972219E-8
