Trigger Count=13840	Output Count=13840	Elapsed Time=30.000	Number of Pulses CH0=2	Number of Pulses CH1=0
rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.1000	Channel 0 threshold (V)=0.1000	Channel 1 threshold (V)=0.1000	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.456000E-6	1.435075	9.634684E-8	1.045600E-5	1.475011	1.001447E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	1.441277	9.647091E-8	1.045600E-5	1.480977	1.004156E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4.560000E-7	1.415491	9.578995E-8	5.456000E-6	1.481023	1.003470E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	1.442358	9.586997E-8	1.045600E-5	1.483660	1.006716E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	1.435395	9.633623E-8	1.045600E-5	1.476358	1.001377E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.460000E-6	1.442302	9.566152E-8	1.046000E-5	1.484244	1.006485E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	1.440580	9.685316E-8	1.045600E-5	1.493885	1.000718E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	1.434218	9.649398E-8	1.045600E-5	1.489789	9.987250E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	1.439829	9.585663E-8	1.046000E-5	1.482247	1.005316E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	1.442120	9.599432E-8	1.045600E-5	1.482690	1.005892E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4.560000E-7	2.088327	1.040589E-7	5.456000E-6	1.490050	9.994025E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	1.435282	9.665170E-8	1.045600E-5	1.492619	9.991674E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	1.440070	9.584968E-8	1.046000E-5	1.482901	1.005529E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	1.442254	9.597593E-8	1.045600E-5	1.482146	1.005913E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	1.437765	9.681261E-8	1.045600E-5	1.494235	9.999432E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.460000E-6	1.442561	9.566358E-8	1.046000E-5	1.485960	1.006593E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	1.439678	9.688249E-8	1.045600E-5	1.495110	1.001008E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	1.436046	9.678255E-8	1.045600E-5	1.492570	9.986389E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	1.438884	9.593286E-8	1.045600E-5	1.479230	1.004562E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
