Trigger Count=32177	Output Count=2599	Elapsed Time=10:00.000	Number of Pulses CH0=1	Number of Pulses CH1=1
te (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.1000	Channel 0 threshold (V)=0.1000	Channel 1 threshold (V)=0.0300	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=0.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.456000E-6	0.113947	2.119173E-8	0.000000	0.000000	0.000000	5.488000E-6	0.021200	7.415188E-8	0.000000	0.000000	0.000000
5.456000E-6	0.374147	2.983238E-8	0.000000	0.000000	0.000000	5.488000E-6	0.063840	3.279825E-8	0.000000	0.000000	0.000000
5.456000E-6	0.544697	2.807347E-8	0.000000	0.000000	0.000000	5.480000E-6	0.222729	3.584541E-8	0.000000	0.000000	0.000000
5.456000E-6	0.124674	2.608425E-8	0.000000	0.000000	0.000000	5.464000E-6	0.165317	4.895945E-8	0.000000	0.000000	0.000000
5.456000E-6	0.303659	2.615778E-8	0.000000	0.000000	0.000000	5.480000E-6	0.105564	3.715859E-8	0.000000	0.000000	0.000000
5.452000E-6	0.170321	2.627568E-8	0.000000	0.000000	0.000000	5.476000E-6	0.053944	6.074411E-8	0.000000	0.000000	0.000000
5.456000E-6	0.233757	2.887931E-8	0.000000	0.000000	0.000000	5.480000E-6	0.093699	3.676085E-8	0.000000	0.000000	0.000000
5.452000E-6	0.134517	3.207593E-8	0.000000	0.000000	0.000000	5.480000E-6	0.032940	3.616634E-8	0.000000	0.000000	0.000000
5.452000E-6	0.107018	2.518237E-8	0.000000	0.000000	0.000000	5.468000E-6	0.047090	3.036578E-8	0.000000	0.000000	0.000000
5.456000E-6	0.420688	2.784792E-8	0.000000	0.000000	0.000000	5.488000E-6	0.084207	3.197439E-8	0.000000	0.000000	0.000000
5.456000E-6	0.222266	2.774203E-8	0.000000	0.000000	0.000000	5.480000E-6	0.061445	3.307283E-8	0.000000	0.000000	0.000000
5.456000E-6	0.366517	2.797863E-8	0.000000	0.000000	0.000000	5.488000E-6	0.067697	3.058684E-8	0.000000	0.000000	0.000000
5.452000E-6	0.227288	2.519397E-8	0.000000	0.000000	0.000000	5.472000E-6	0.181280	4.088481E-8	0.000000	0.000000	0.000000
