Trigger Count=6509	Output Count=461	Elapsed Time=01:59.454	Number of Pulses CH0=1	Number of Pulses CH1=1
rate (Hz)=2.50E+8	Min record length=28	Trigger level (V)=0.1000	Channel 0 threshold (V)=0.1000	Channel 1 threshold (V)=0.0300	Range (microseconds)=0.1000	Pulse 2 delay (microseconds)=0.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
1.600000E-8	0.075213	1.877398E-8	0.000000	0.000000	0.000000	3.600000E-8	0.037448	1.909321E-8	0.000000	0.000000	0.000000
1.600000E-8	0.179524	2.113593E-8	0.000000	0.000000	0.000000	4.000000E-8	0.112389	1.195324E-8	0.000000	0.000000	0.000000
1.600000E-8	0.095554	2.179115E-8	0.000000	0.000000	0.000000	3.200000E-8	0.090979	1.846682E-8	0.000000	0.000000	0.000000
1.200000E-8	0.188125	2.120482E-8	0.000000	0.000000	0.000000	4.000000E-8	0.037399	1.452613E-8	0.000000	0.000000	0.000000
1.600000E-8	0.442295	2.243507E-8	0.000000	0.000000	0.000000	5.600000E-8	0.022425	9.213920E-9	0.000000	0.000000	0.000000
1.200000E-8	0.116129	2.228444E-8	0.000000	0.000000	0.000000	2.800000E-8	0.136465	2.287385E-8	0.000000	0.000000	0.000000
1.200000E-8	0.093286	2.907839E-8	0.000000	0.000000	0.000000	4.800000E-8	0.026654	1.256906E-8	0.000000	0.000000	0.000000
1.600000E-8	0.137126	2.225287E-8	0.000000	0.000000	0.000000	3.200000E-8	0.125127	1.727596E-8	0.000000	0.000000	0.000000
1.200000E-8	0.083089	1.941720E-8	0.000000	0.000000	0.000000	3.600000E-8	0.038609	2.003870E-8	0.000000	0.000000	0.000000
1.200000E-8	0.087150	2.611280E-8	0.000000	0.000000	0.000000	4.400000E-8	0.049559	1.252372E-8	0.000000	0.000000	0.000000
1.600000E-8	0.080322	2.365239E-8	0.000000	0.000000	0.000000	4.000000E-8	0.052006	1.676739E-8	0.000000	0.000000	0.000000
1.600000E-8	0.131590	2.222969E-8	0.000000	0.000000	0.000000	3.600000E-8	0.061887	1.612775E-8	0.000000	0.000000	0.000000
1.200000E-8	0.133343	2.173222E-8	0.000000	0.000000	0.000000	4.000000E-8	0.045238	1.605458E-8	0.000000	0.000000	0.000000
1.600000E-8	0.115363	2.240791E-8	0.000000	0.000000	0.000000	4.400000E-8	0.025631	1.484348E-8	0.000000	0.000000	0.000000
1.600000E-8	0.209097	2.324105E-8	0.000000	0.000000	0.000000	4.800000E-8	0.073408	5.880753E-9	0.000000	0.000000	0.000000
1.200000E-8	0.402788	2.415739E-8	0.000000	0.000000	0.000000	4.400000E-8	0.141770	7.265872E-9	0.000000	0.000000	0.000000
1.200000E-8	0.106767	2.262658E-8	0.000000	0.000000	0.000000	3.600000E-8	0.052059	1.788735E-8	0.000000	0.000000	0.000000
1.200000E-8	0.285146	2.265556E-8	0.000000	0.000000	0.000000	4.400000E-8	0.083589	7.384368E-9	0.000000	0.000000	0.000000
2.000000E-8	0.094450	2.333222E-8	0.000000	0.000000	0.000000	4.800000E-8	0.026710	1.325832E-8	0.000000	0.000000	0.000000
1.600000E-8	0.153087	2.095138E-8	0.000000	0.000000	0.000000	4.000000E-8	0.003726	1.221113E-8	0.000000	0.000000	0.000000
1.600000E-8	0.111992	2.212983E-8	0.000000	0.000000	0.000000	4.000000E-8	0.025815	2.111997E-8	0.000000	0.000000	0.000000
1.200000E-8	0.099541	2.121486E-8	0.000000	0.000000	0.000000	3.600000E-8	0.048923	1.728405E-8	0.000000	0.000000	0.000000
1.600000E-8	0.129456	2.039826E-8	0.000000	0.000000	0.000000	4.400000E-8	0.034240	1.459134E-8	0.000000	0.000000	0.000000
1.200000E-8	0.276404	2.199237E-8	0.000000	0.000000	0.000000	4.000000E-8	0.097494	1.021256E-8	0.000000	0.000000	0.000000
1.600000E-8	0.143476	2.178531E-8	0.000000	0.000000	0.000000	3.600000E-8	0.060420	1.684721E-8	0.000000	0.000000	0.000000
1.200000E-8	0.142908	1.985608E-8	0.000000	0.000000	0.000000	4.000000E-8	0.110085	1.200732E-8	0.000000	0.000000	0.000000
1.200000E-8	0.071864	2.019249E-8	0.000000	0.000000	0.000000	3.200000E-8	0.109727	1.942189E-8	0.000000	0.000000	0.000000
1.200000E-8	0.311271	2.489754E-8	0.000000	0.000000	0.000000	4.800000E-8	0.035255	8.042198E-9	0.000000	0.000000	0.000000
2.000000E-8	0.226610	2.669593E-8	0.000000	0.000000	0.000000	5.600000E-8	0.021060	0.000000	0.000000	0.000000	0.000000
1.200000E-8	0.180667	2.250218E-8	0.000000	0.000000	0.000000	4.800000E-8	0.033920	1.432992E-8	0.000000	0.000000	0.000000
1.200000E-8	0.093978	2.067230E-8	0.000000	0.000000	0.000000	3.200000E-8	0.097803	1.895427E-8	0.000000	0.000000	0.000000
1.200000E-8	0.183075	2.053622E-8	0.000000	0.000000	0.000000	4.400000E-8	0.028946	1.331973E-8	0.000000	0.000000	0.000000
1.200000E-8	0.190914	2.601957E-8	0.000000	0.000000	0.000000	4.400000E-8	0.071908	8.841018E-9	0.000000	0.000000	0.000000
1.200000E-8	0.094232	2.255932E-8	0.000000	0.000000	0.000000	4.000000E-8	0.041518	1.423157E-8	0.000000	0.000000	0.000000
1.200000E-8	0.075561	2.388509E-8	0.000000	0.000000	0.000000	3.600000E-8	0.035968	2.179326E-8	0.000000	0.000000	0.000000
2.400000E-8	0.084684	2.314582E-8	0.000000	0.000000	0.000000	3.200000E-8	0.060271	1.965603E-8	0.000000	0.000000	0.000000
1.200000E-8	0.210105	2.850911E-8	0.000000	0.000000	0.000000	3.200000E-8	-0.400650	2.587956E-8	0.000000	0.000000	0.000000
1.600000E-8	0.249981	2.467075E-8	0.000000	0.000000	0.000000	4.000000E-8	0.112422	1.065360E-8	0.000000	0.000000	0.000000
1.200000E-8	0.315620	2.279379E-8	0.000000	0.000000	0.000000	4.000000E-8	0.080347	1.145899E-8	0.000000	0.000000	0.000000
1.200000E-8	0.384913	2.245454E-8	0.000000	0.000000	0.000000	4.400000E-8	0.105033	9.146087E-9	0.000000	0.000000	0.000000
1.200000E-8	0.096621	2.529173E-8	0.000000	0.000000	0.000000	3.200000E-8	0.041058	2.198429E-8	0.000000	0.000000	0.000000
1.600000E-8	0.155955	2.270352E-8	0.000000	0.000000	0.000000	4.800000E-8	0.024645	1.215286E-8	0.000000	0.000000	0.000000
1.600000E-8	0.103228	2.465903E-8	0.000000	0.000000	0.000000	4.400000E-8	0.024017	1.625732E-8	0.000000	0.000000	0.000000
1.200000E-8	0.258591	2.275584E-8	0.000000	0.000000	0.000000	3.600000E-8	0.135087	1.368987E-8	0.000000	0.000000	0.000000
1.200000E-8	0.089847	2.223965E-8	0.000000	0.000000	0.000000	4.400000E-8	0.028118	2.000024E-8	0.000000	0.000000	0.000000
1.200000E-8	0.459374	2.217430E-8	0.000000	0.000000	0.000000	4.400000E-8	0.052459	8.776673E-9	0.000000	0.000000	0.000000
1.200000E-8	0.087311	2.118479E-8	0.000000	0.000000	0.000000	3.600000E-8	0.086310	1.580628E-8	0.000000	0.000000	0.000000
1.200000E-8	0.114074	2.046133E-8	0.000000	0.000000	0.000000	3.600000E-8	0.039006	1.881675E-8	0.000000	0.000000	0.000000
1.200000E-8	0.085008	2.869800E-8	0.000000	0.000000	0.000000	4.000000E-8	0.033568	1.719130E-8	0.000000	0.000000	0.000000
