Trigger Count=27287	Output Count=22260	Elapsed Time=01:00.001	Number of Pulses CH0=0	Number of Pulses CH1=2
e (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.2000	Channel 0 threshold (V)=0.2000	Channel 1 threshold (V)=0.2000	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365620	1.014695E-7	2.045600E-5	0.321326	9.932904E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.367398	1.012982E-7	2.045600E-5	0.319453	9.945509E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.362487	1.022168E-7	2.046000E-5	0.320035	9.929825E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.367927	1.018499E-7	2.045600E-5	0.320353	9.899087E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.363073	1.012725E-7	2.045600E-5	0.320101	9.970799E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.364376	1.012905E-7	2.045600E-5	0.319418	9.909854E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.364140	1.013273E-7	2.045600E-5	0.321346	9.909440E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.360857	1.020935E-7	2.046000E-5	0.322197	9.879717E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365575	1.017473E-7	2.046000E-5	0.320010	9.922790E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.359071	1.017284E-7	2.045600E-5	0.324239	9.912617E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.452000E-6	0.364658	1.018870E-7	2.045600E-5	0.325408	9.853471E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.363992	1.012870E-7	2.045600E-5	0.318162	9.928831E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.356771	1.021206E-7	2.046000E-5	0.318020	9.889679E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365397	1.015341E-7	2.045600E-5	0.324993	9.916256E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.364241	1.021296E-7	2.046000E-5	0.318117	9.888364E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365865	1.014948E-7	2.045600E-5	0.322324	9.933483E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.369110	1.017866E-7	2.045600E-5	0.320439	9.893886E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.370217	1.014435E-7	2.045600E-5	0.326724	9.916806E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.355965	1.021260E-7	2.046000E-5	0.321511	9.901083E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365405	1.017972E-7	2.045600E-5	0.317689	9.914763E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.369045	1.019371E-7	2.045600E-5	0.321577	9.850394E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.363004	1.018907E-7	2.046000E-5	0.323558	9.899754E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.358269	1.019055E-7	2.045600E-5	0.322164	9.936218E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.363852	1.015256E-7	2.045600E-5	0.323824	9.961859E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.367266	1.014486E-7	2.045600E-5	0.322794	9.949514E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.361277	1.020782E-7	2.046000E-5	0.324074	9.921349E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.364221	1.016969E-7	2.045600E-5	0.321173	9.886630E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365257	1.018902E-7	2.046000E-5	0.320022	9.912015E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.366219	1.019324E-7	2.045600E-5	0.318142	9.887725E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365909	1.020210E-7	2.046000E-5	0.324198	9.872063E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.366397	1.019160E-7	2.045600E-5	0.323886	9.912787E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.366751	1.019564E-7	2.046000E-5	0.321674	9.911831E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.366750	1.012491E-7	2.045600E-5	0.323713	9.931666E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.364585	1.012907E-7	2.045600E-5	0.321094	9.939666E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.363152	1.015855E-7	2.046000E-5	0.322475	9.920314E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.367141	1.017082E-7	2.045600E-5	0.325911	9.896739E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.364679	1.012973E-7	2.045600E-5	0.322601	9.984927E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365386	1.018378E-7	2.046000E-5	0.321588	9.911394E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.367442	1.015885E-7	2.045600E-5	0.318799	9.891470E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365168	1.018791E-7	2.045600E-5	0.319946	9.893614E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.361255	1.018231E-7	2.045600E-5	0.320211	9.891112E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.369639	1.013164E-7	2.045600E-5	0.324256	9.924441E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.360264	1.019622E-7	2.045600E-5	0.322242	9.875237E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365212	1.017833E-7	2.046000E-5	0.319641	9.896351E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.452000E-6	0.365355	1.019741E-7	2.045600E-5	0.322257	9.909610E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.362409	1.016284E-7	2.045600E-5	0.320266	9.958721E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.364907	1.021045E-7	2.046000E-5	0.327842	9.867501E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.364845	1.017314E-7	2.045600E-5	0.323644	9.923146E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.361146	1.018750E-7	2.045600E-5	0.322411	9.923755E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365536	1.012354E-7	2.045600E-5	0.322237	9.977145E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.362762	1.013262E-7	2.045600E-5	0.322692	9.940932E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365492	1.019622E-7	2.045600E-5	0.323671	9.896824E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365034	1.012444E-7	2.045600E-5	0.321563	9.920820E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.363393	1.019147E-7	2.046000E-5	0.320913	9.901144E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365525	1.014951E-7	2.045600E-5	0.320991	9.894265E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.366299	1.013179E-7	2.045600E-5	0.322491	9.963939E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.364345	1.015400E-7	2.045600E-5	0.324565	9.911445E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365569	1.015559E-7	2.045600E-5	0.320014	9.949503E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365669	1.019164E-7	2.045600E-5	0.320440	9.864230E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365684	1.013485E-7	2.045600E-5	0.320806	9.943524E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.364119	1.017774E-7	2.045600E-5	0.321879	9.889948E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.363063	1.011591E-7	2.045600E-5	0.323707	9.950034E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365083	1.017018E-7	2.045600E-5	0.324145	9.941118E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.365543	1.010665E-7	2.045600E-5	0.323961	9.972591E-8
