Trigger Count=23294	Output Count=23294	Elapsed Time=01:00.000	Number of Pulses CH0=0	Number of Pulses CH1=2
e (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.2000	Channel 0 threshold (V)=0.2000	Channel 1 threshold (V)=0.2000	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=0.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.358736	1.016132E-7	7.456000E-6	0.322681	9.929883E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.360674	1.021174E-7	7.460000E-6	0.319477	9.907439E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.357203	1.014401E-7	7.456000E-6	0.323397	9.925470E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.359428	1.018923E-7	7.460000E-6	0.318768	9.925991E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.358056	1.015989E-7	7.456000E-6	0.322042	9.911341E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.356476	1.020971E-7	7.456000E-6	0.324366	9.880079E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.356705	1.012986E-7	7.456000E-6	0.319784	9.950599E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.358235	1.012296E-7	7.456000E-6	0.322903	9.928240E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.358867	1.015700E-7	7.460000E-6	0.322073	9.930938E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.359706	1.017778E-7	7.456000E-6	0.323238	9.925666E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.360072	1.011587E-7	7.456000E-6	0.322254	9.938613E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.357348	1.014349E-7	7.456000E-6	0.319788	9.987217E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.356238	1.019461E-7	7.460000E-6	0.321472	9.885196E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.354407	1.013637E-7	7.456000E-6	0.322397	9.915306E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.360310	1.015427E-7	7.460000E-6	0.324177	9.940209E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.361951	1.016554E-7	7.456000E-6	0.320062	9.902594E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.356551	1.013263E-7	7.456000E-6	0.318971	9.931743E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.358192	1.018294E-7	7.456000E-6	0.319952	9.912924E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.356207	1.013870E-7	7.456000E-6	0.322511	9.960325E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.361844	1.019889E-7	7.460000E-6	0.319851	9.893763E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.359704	1.020999E-7	7.460000E-6	0.321527	9.894059E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.358119	1.017388E-7	7.456000E-6	0.324439	9.898289E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.359485	1.016268E-7	7.456000E-6	0.318109	9.918385E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.359596	1.012784E-7	7.456000E-6	0.323215	9.940605E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.356173	1.020246E-7	7.456000E-6	0.319209	9.974671E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.362997	1.016937E-7	7.456000E-6	0.318348	9.897892E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.362483	1.012701E-7	7.456000E-6	0.318644	9.930945E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.360807	1.016097E-7	7.456000E-6	0.320790	9.963024E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.355434	1.020785E-7	7.460000E-6	0.319546	9.907534E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.358110	1.016812E-7	7.456000E-6	0.325061	9.919732E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.354405	1.018418E-7	7.460000E-6	0.323479	9.898432E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.355369	1.014482E-7	7.456000E-6	0.321064	9.928415E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.359818	1.017414E-7	7.456000E-6	0.319985	9.934308E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.355733	1.019077E-7	7.460000E-6	0.317619	9.892001E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.360797	1.011317E-7	7.456000E-6	0.319454	9.969233E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.358678	1.021307E-7	7.456000E-6	0.319121	9.856521E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.360964	1.012189E-7	7.456000E-6	0.319930	9.940140E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.360188	1.016480E-7	7.456000E-6	0.320802	9.859140E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.363202	1.011308E-7	7.456000E-6	0.320196	9.928562E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.362683	1.016862E-7	7.460000E-6	0.318297	9.911587E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.359889	1.019501E-7	7.456000E-6	0.323907	9.852630E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.360970	1.015198E-7	7.456000E-6	0.321717	9.956294E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.357587	1.020045E-7	7.460000E-6	0.319049	9.893737E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.361955	1.015855E-7	7.456000E-6	0.318629	9.889409E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.357668	1.013716E-7	7.456000E-6	0.326157	9.968931E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.357438	1.018879E-7	7.460000E-6	0.318978	9.929596E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.357773	1.022594E-7	7.460000E-6	0.318933	9.908320E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.456000E-6	0.355732	1.014687E-7	7.456000E-6	0.318700	9.929753E-8
