Trigger Count=524	Output Count=432	Elapsed Time=05:00.235	Number of Pulses CH0=2	Number of Pulses CH1=0
 rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.6000	Channel 0 threshold (V)=0.2000	Channel 1 threshold (V)=0.2000	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=0.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.440000E-6	0.608187	2.582085E-8	1.290000E-5	0.327991	9.880559E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.607020	2.695854E-8	2.221200E-5	0.334452	9.892033E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.338723	9.865133E-8	4.541600E-5	-0.020275	5.126600E-9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.583760	2.690290E-8	1.138000E-5	0.335276	9.881063E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.559912	2.886585E-8	1.203200E-5	0.340865	9.927644E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.563720	2.757978E-8	1.929200E-5	0.334632	9.926629E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.667528	2.951959E-8	3.685600E-5	0.332935	9.928291E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.642152	2.720330E-8	1.870400E-5	0.322486	9.920427E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.620921	2.865688E-8	2.780800E-5	0.331279	9.945307E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.420609	3.096413E-8	3.621600E-5	0.319184	9.855026E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.493973	2.529818E-8	2.546800E-5	0.325502	9.832020E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.648541	2.985614E-8	3.801600E-5	0.331111	9.926079E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.539012	2.756103E-8	3.856800E-5	0.331625	9.871957E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.444000E-6	0.498027	2.503003E-8	7.832000E-6	0.337259	9.953540E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.588034	2.863067E-8	1.982400E-5	0.336500	9.911232E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.620538	3.120968E-8	1.264000E-5	0.340557	9.946515E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.501609	2.840889E-8	2.078400E-5	0.337883	9.889286E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.553981	2.665333E-8	9.872000E-6	0.338327	9.931252E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.632691	2.721647E-8	3.282000E-5	0.332077	9.879521E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.513295	2.528743E-8	8.928000E-6	0.349753	9.970162E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.444000E-6	0.562337	2.540554E-8	2.639200E-5	0.338892	9.948969E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.518865	2.788969E-8	2.338800E-5	0.335736	9.941119E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.586087	2.766995E-8	1.329600E-5	0.325037	9.878632E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.653634	2.844331E-8	3.781600E-5	0.332935	9.938008E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.565981	2.626764E-8	6.180000E-6	0.297962	9.858012E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.444000E-6	0.257224	3.882224E-8	1.862800E-5	0.330380	9.877104E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.689608	2.974601E-8	1.663200E-5	0.336312	9.942815E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.557904	2.746503E-8	3.012400E-5	0.331822	9.886602E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.575703	2.408538E-8	2.545600E-5	0.339072	9.980127E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.536634	3.348417E-8	1.476000E-5	0.339482	9.949534E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.351160	9.605115E-8	4.542000E-5	0.012958	3.008889E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.579486	2.677297E-8	2.045200E-5	0.331215	9.922185E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.448000E-6	0.409778	2.166547E-8	2.040800E-5	0.341679	9.955866E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.632252	2.912251E-8	7.284000E-6	0.322110	9.908119E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.570751	2.703945E-8	2.787600E-5	0.332968	9.938369E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.444000E-6	0.512165	2.650699E-8	2.607600E-5	0.334612	9.943131E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.616405	2.683418E-8	2.387600E-5	0.338853	9.971400E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.444000E-6	0.485722	2.662932E-8	3.719200E-5	0.325273	9.837065E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.587161	2.577285E-8	2.998000E-5	0.329188	9.905184E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.444000E-6	0.517999	2.678804E-8	3.578000E-5	0.334928	9.922061E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.662011	3.083299E-8	1.310400E-5	0.329964	9.900658E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.560092	2.599567E-8	1.875200E-5	0.332499	9.910208E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.344577	3.595871E-8	3.157200E-5	0.332261	9.941464E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.650824	2.918159E-8	1.884000E-5	0.343796	9.934971E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.444000E-6	0.519337	2.653138E-8	3.735600E-5	0.338527	9.920547E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.576846	3.112802E-8	9.492000E-6	0.335947	9.964288E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.485607	2.529979E-8	3.263200E-5	0.335207	9.961736E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.354301	3.568054E-8	2.188800E-5	0.333927	9.903045E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.444000E-6	0.533221	2.580481E-8	1.198400E-5	0.342246	9.973667E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.448000E-6	0.450799	2.551635E-8	1.978800E-5	0.336956	9.861673E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.580657	2.635647E-8	2.161200E-5	0.341244	9.874636E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.561585	2.794469E-8	6.372000E-6	0.378307	1.017498E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.541824	2.822325E-8	2.054000E-5	0.332022	9.944442E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.444000E-6	0.541986	2.673427E-8	3.545200E-5	0.326317	9.837251E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.444000E-6	0.536769	2.697533E-8	2.235200E-5	0.336238	9.969952E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.589971	2.870030E-8	2.962800E-5	0.338201	9.941131E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.640336	2.807437E-8	2.207600E-5	0.331002	9.906523E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.565469	2.791413E-8	1.965200E-5	0.336275	9.960472E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.444000E-6	0.548137	2.521000E-8	1.482400E-5	0.332371	9.894580E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.345110	9.793883E-8	4.542400E-5	0.006994	3.327688E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.585242	2.655612E-8	9.592000E-6	0.327921	9.846611E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.522179	2.666516E-8	7.820000E-6	0.331789	9.935669E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.584121	2.785001E-8	1.886000E-5	0.330417	9.937256E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.525845	2.903526E-8	2.596000E-5	0.327944	9.904844E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.444000E-6	0.527835	2.719113E-8	3.950000E-5	0.331297	9.925347E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.623755	2.755847E-8	2.589600E-5	0.331772	9.916747E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.685280	3.395522E-8	3.480800E-5	0.336448	9.916397E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.586535	2.872292E-8	8.636000E-6	0.321919	9.817392E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.608097	2.863151E-8	3.150800E-5	0.338537	9.921717E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.309587	9.946720E-8	4.542800E-5	0.003068	2.972995E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.349011	3.984624E-8	2.171600E-5	0.340020	9.967546E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.464172	3.234762E-8	3.289200E-5	0.337964	9.926430E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.517992	2.790691E-8	7.784000E-6	0.334272	9.914407E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.562493	2.589489E-8	3.523600E-5	0.338544	9.891527E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.604457	2.716306E-8	3.890800E-5	0.330606	9.952796E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.448000E-6	0.433270	2.190595E-8	3.834400E-5	0.338573	9.981537E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.554739	2.839859E-8	3.683600E-5	0.334017	9.957196E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.467268	3.286564E-8	1.671600E-5	0.337018	9.887568E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.616464	2.705385E-8	3.192000E-5	0.330138	9.906534E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.560539	2.702228E-8	3.152400E-5	0.336676	9.946932E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.568352	2.702557E-8	3.313600E-5	0.337282	9.956851E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.509774	3.615578E-8	8.264000E-6	0.305444	9.764554E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.553721	2.787116E-8	6.880000E-6	0.337979	9.880187E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.584654	2.905018E-8	8.572000E-6	0.351344	9.820551E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.444000E-6	0.561610	2.741077E-8	1.557200E-5	0.331697	9.952998E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.638451	2.553052E-8	1.642000E-5	0.341091	1.000837E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.559680	2.599317E-8	9.032000E-6	0.353569	9.968564E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.444000E-6	0.531991	2.663108E-8	3.470400E-5	0.328381	9.884490E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.583822	2.647449E-8	8.600000E-6	0.338695	9.920226E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.448000E-6	0.498302	2.489565E-8	9.328000E-6	0.336373	9.958618E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.525430	2.863860E-8	3.918800E-5	0.334109	9.893403E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.549922	2.601706E-8	1.922400E-5	0.332549	9.887995E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.673169	3.159906E-8	8.708000E-6	0.334293	9.902336E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.448000E-6	0.470714	2.643862E-8	3.366800E-5	0.329242	9.911293E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.529423	2.705725E-8	2.524400E-5	0.337245	9.902898E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.444000E-6	0.526844	2.677641E-8	8.352000E-6	0.330919	9.920700E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.601209	2.691705E-8	1.302800E-5	0.340187	9.949280E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.444000E-6	0.497509	2.469696E-8	3.859600E-5	0.336645	9.928198E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.321482	1.200772E-7	4.535600E-5	0.324739	4.191267E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.628496	3.095675E-8	8.388000E-6	0.315090	9.862361E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
