Trigger Count=443	Output Count=389	Elapsed Time=05:00.877	Number of Pulses CH0=0	Number of Pulses CH1=2
 rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.6000	Channel 0 threshold (V)=0.2000	Channel 1 threshold (V)=0.2000	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.436000E-6	0.591619	2.811816E-8	2.488800E-5	0.325716	9.914335E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.436000E-6	0.621735	2.855564E-8	3.564000E-5	0.331483	9.949447E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.428000E-6	0.691804	3.506650E-8	1.241200E-5	0.328699	9.899105E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.440000E-6	0.619382	2.587258E-8	3.692000E-5	0.320902	9.903762E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.436000E-6	0.603327	2.675143E-8	1.972000E-5	0.329694	9.922585E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.432000E-6	0.637079	2.976963E-8	2.396800E-5	0.326716	9.931497E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.436000E-6	0.594699	2.769749E-8	3.532000E-5	0.328529	9.894833E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.440000E-6	0.562815	2.629288E-8	1.469600E-5	0.324256	9.885061E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.432000E-6	0.691298	3.180364E-8	1.162800E-5	0.322797	9.905429E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.444000E-6	0.544678	2.918842E-8	1.568800E-5	0.322778	9.850147E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.440000E-6	0.389404	3.835362E-8	7.264000E-6	0.318979	9.861312E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.444000E-6	0.491897	2.591607E-8	1.154000E-5	0.332148	9.998928E-8
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.444000E-6	0.589717	2.578450E-8	1.467200E-5	0.338211	9.921628E-8
